Year,technology,generators,MW,MWh,unit_share_%,MW_share_%,MWh_share_%
2018,NAB,4,8.0,54.8,8.51,2.84,8.87
2018,PBB,2,1.6,3.6,4.26,0.57,0.58
2018,flow,1,2.0,8.0,2.13,0.71,1.29
2018,lithium ion,40,269.6,551.7,85.11,95.87,89.26
2019,NAB,3,7.0,48.8,4.92,2.37,6.37
2019,PBB,1,0.8,1.3,1.64,0.27,0.17
2019,flow,1,2.0,8.0,1.64,0.68,1.04
2019,lithium ion,56,286.0,707.5,91.8,96.69,92.41
2020,NAB,3,7.0,48.8,4.11,1.17,4.62
2020,PBB,1,0.8,1.3,1.37,0.13,0.12
2020,flow,1,2.0,8.0,1.37,0.34,0.76
2020,lithium ion,68,586.5,997.5,93.15,98.36,94.5
2021,NAB,1,1.0,6.8,0.93,0.04,0.1
2021,PBB,1,0.8,1.3,0.93,0.03,0.02
2021,flow,1,2.0,8.0,0.93,0.08,0.11
2021,lithium ion,104,2565.8,7067.7,97.2,99.85,99.77
2022,NAB,1,1.0,6.8,0.66,0.02,0.04
2022,PBB,1,0.8,1.3,0.66,0.02,0.01
2022,flow,1,2.0,8.0,0.66,0.04,0.04
2022,lithium ion,149,5229.0,17804.7,98.03,99.93,99.91
